"","ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount"
"151","600519.SH","20200525",1330,1366.58,1321,1362.9,1328.2,34.7,2.6126,31561,4260387.678
"152","600519.SH","20200522",1366,1366.1,1322.88,1328.2,1366.1,-37.9,-2.7743,34427.46,4608696.074
"153","600519.SH","20200521",1355,1371.96,1352.86,1366.1,1351,15.1,1.1177,23051.58,3147105.462
"154","600519.SH","20200520",1346.11,1359.18,1336.81,1351,1346.11,4.89,0.3633,21183.4,2859455.106
"155","600519.SH","20200519",1364,1364,1338,1346.11,1346.21,-0.1,-0.0074,24787.46,3342210.487
"156","600519.SH","20200518",1306,1351.5,1305.13,1346.21,1313,33.21,2.5293,34362.11,4587989.708
"157","600519.SH","20200515",1329,1333.5,1301.88,1313,1326.59,-13.59,-1.0244,26398.08,3469736.812
"158","600519.SH","20200514",1330,1334.88,1325.11,1326.59,1335.95,-9.36,-0.7006,18574.92,2467976.357
"159","600519.SH","20200513",1333,1337.99,1322.88,1335.95,1333,2.95,0.2213,22014.31,2931464.95
"160","600519.SH","20200512",1318,1334.99,1316,1333,1323.01,9.99,0.7551,19721.81,2621824.685
"161","600519.SH","20200511",1320,1335,1313.67,1323.01,1314.61,8.4,0.639,23671.19,3135990.964
"162","600519.SH","20200508",1317,1338,1308.51,1314.61,1312,2.61,0.1989,29078.68,3839218.026
"163","600519.SH","20200507",1299.4,1314.99,1293,1312,1300,12,0.9231,27934.74,3647628.296
"164","600519.SH","20200506",1251,1300,1250,1300,1265.7,34.3,2.71,35834.81,4598589.768
"165","600519.SH","20200430",1271,1285.01,1258.88,1265.7,1274.9,-9.2,-0.7216,24660.87,3134408.881
"166","600519.SH","20200429",1277.8,1288.1,1258,1274.9,1279.13,-4.23,-0.3307,23444.06,2976724.957
"167","600519.SH","20200428",1285.31,1299.94,1271.88,1279.13,1276,3.13,0.2453,34661.9,4458549.425
"168","600519.SH","20200427",1257,1278.17,1250.96,1276,1250.56,25.44,2.0343,25903.91,3284513.346
"169","600519.SH","20200424",1248,1259.89,1235.18,1250.56,1252.26,-1.7,-0.1358,19122.4,2390444.036
"170","600519.SH","20200423",1250,1265.68,1247.77,1252.26,1244.5,7.76,0.6235,26898.51,3377042.463
"171","600519.SH","20200422",1206,1249.5,1202.22,1244.5,1200,44.5,3.7083,44034.73,5430377.598
"172","600519.SH","20200421",1221.02,1223.99,1193,1200,1227.3,-27.3,-2.2244,29224.22,3517018.487
"173","600519.SH","20200420",1221,1231.5,1216.8,1227.3,1226,1.3,0.106,24238.64,2963483.323
"174","600519.SH","20200417",1210,1234.56,1205.01,1226,1197.1,28.9,2.4142,38245.69,4676618.151
"175","600519.SH","20200416",1192.97,1197.1,1184.1,1197.1,1189.6,7.5,0.6305,21727.74,2588431.844
"176","600519.SH","20200415",1192,1203.99,1187.1,1189.6,1185.1,4.5,0.3797,29332.29,3501318.26
"177","600519.SH","20200414",1176,1191.55,1166,1185.1,1162.3,22.8,1.9616,36799.55,4340858.665
"178","600519.SH","20200413",1165,1169.98,1148.5,1162.3,1165,-2.7,-0.2318,15981.47,1854563.731
"179","600519.SH","20200410",1157.88,1181.5,1153.5,1165,1158.5,6.5,0.5611,27804.34,3252600.672
"180","600519.SH","20200409",1166,1169,1147.96,1158.5,1159.76,-1.26,-0.1086,22816.97,2640230.492
"181","600519.SH","20200408",1152,1166.31,1152,1159.76,1159.95,-0.19,-0.0164,24224.42,2809422.1
"182","600519.SH","20200407",1161.95,1166.5,1148.89,1159.95,1139.79,20.16,1.7687,43488,5041525.481
"183","600519.SH","20200403",1139.03,1147.96,1131.98,1139.79,1145,-5.21,-0.455,27617.61,3148421.866
"184","600519.SH","20200402",1104,1145,1103.88,1145,1103,42,3.8078,45205.61,5095167.594
"185","600519.SH","20200401",1117,1129,1103,1103,1111,-8,-0.7201,33205.35,3700184.247
"186","600519.SH","20200331",1082,1115,1081.8,1111,1072,39,3.6381,47984.37,5293170.703
"187","600519.SH","20200330",1060.25,1077,1057,1072,1075.5,-3.5,-0.3254,30687.41,3279823.025
"188","600519.SH","20200327",1085,1092,1075.01,1075.5,1064.92,10.58,0.9935,36261.12,3931759.353
"189","600519.SH","20200326",1073.33,1091.2,1062,1064.92,1080.1,-15.18,-1.4054,30048.56,3231754.298
"190","600519.SH","20200325",1087.98,1091.36,1074.2,1080.1,1056,24.1,2.2822,37048.66,4015061.222
"191","600519.SH","20200324",1043,1058.88,1035,1056,1019,37,3.631,46650.96,4900364.144
"192","600519.SH","20200323",1000,1035.28,991.52,1019,1035.28,-16.28,-1.5725,48472.1,4918121.944
"193","600519.SH","20200320",1011,1043,1011,1035.28,996,39.28,3.9438,60139.19,6169094.444
"194","600519.SH","20200319",993.99,1015,960.1,996,1007.99,-11.99,-1.1895,102265.07,10075880.47
"195","600519.SH","20200318",1040,1060,1007.99,1007.99,1045.1,-37.11,-3.5509,73459.88,7582762.547
"196","600519.SH","20200317",1055,1078,1011.12,1045.1,1067,-21.9,-2.0525,79359.12,8277472.787
"197","600519.SH","20200316",1103.98,1107.95,1062,1067,1112.03,-45.03,-4.0494,51232.54,5548946.745
"198","600519.SH","20200313",1090,1128.98,1080,1112.03,1138.5,-26.47,-2.325,75885.31,8348496.48
"199","600519.SH","20200312",1141.22,1153,1125.1,1138.5,1158.52,-20.02,-1.7281,36630.63,4172606.105
"200","600519.SH","20200311",1155.5,1169.58,1141,1158.52,1156,2.52,0.218,35547.57,4124607.952
"201","600519.SH","20200310",1113,1168,1113,1156,1114.01,41.99,3.7693,58062.93,6635936.156
"202","600519.SH","20200309",1135,1135,1111.31,1114.01,1155.5,-41.49,-3.5907,43404.09,4865288.5
"203","600519.SH","20200306",1163,1176,1151.98,1155.5,1171,-15.5,-1.3237,30641,3553622.358
"204","600519.SH","20200305",1136.31,1174.99,1130.56,1171,1128.92,42.08,3.7275,62426.45,7210485.104
"205","600519.SH","20200304",1125,1139,1116.24,1128.92,1113,15.92,1.4304,53792.99,6080149.243
"206","600519.SH","20200303",1098,1118.88,1098,1113,1086.01,26.99,2.4852,50250.15,5585227.657
"207","600519.SH","20200302",1050.11,1096.55,1050.01,1086.01,1057,29.01,2.7446,47663.04,5154329.159
"208","600519.SH","20200228",1070.3,1082,1049.97,1057,1087.39,-30.39,-2.7948,49946.57,5307929.213
"209","600519.SH","20200227",1076,1094.99,1076,1087.39,1073.7,13.69,1.275,34498.29,3758783.81
"210","600519.SH","20200226",1062,1084,1055,1073.7,1074.81,-1.11,-0.1033,43560.97,4663278.433
"211","600519.SH","20200225",1078,1082.09,1067.88,1074.81,1087.18,-12.37,-1.1378,38385.62,4127432.13
"212","600519.SH","20200224",1105.5,1110,1085.5,1087.18,1112.88,-25.7,-2.3093,38650.36,4221857.466
"213","600519.SH","20200221",1111.46,1123.54,1110.01,1112.88,1118,-5.12,-0.458,28940.08,3225337.16
"214","600519.SH","20200220",1096.7,1124,1095.41,1118,1096.5,21.5,1.9608,46802.62,5220660.94
"215","600519.SH","20200219",1085,1101.5,1078,1096.5,1084,12.5,1.1531,37051.47,4052365.602
"216","600519.SH","20200218",1090.01,1096.88,1083,1084,1093.82,-9.82,-0.8978,26664.96,2897729.692
"217","600519.SH","20200217",1082.5,1096.19,1082.4,1093.82,1088,5.82,0.5349,27028.22,2946182.657
"218","600519.SH","20200214",1090.45,1093.51,1083.11,1088,1091,-3,-0.275,23287.6,2534568.401
"219","600519.SH","20200213",1098,1113.89,1088.01,1091,1097.27,-6.27,-0.5714,30357.36,3335277.425
"220","600519.SH","20200212",1089,1098.79,1085.88,1097.27,1098,-0.73,-0.0665,28125.43,3072293.973
"221","600519.SH","20200211",1063,1099.68,1062.8,1098,1066.49,31.51,2.9546,47917.93,5222918.915
"222","600519.SH","20200210",1062,1074.6,1057.2,1066.49,1076,-9.51,-0.8838,30533.42,3251908.506
"223","600519.SH","20200207",1070.01,1077,1061.02,1076,1071,5,0.4669,31278.71,3348894.576
"224","600519.SH","20200206",1059.43,1075,1052.02,1071,1049.99,21.01,2.001,47171.21,5011246.407
"225","600519.SH","20200205",1050,1054,1033.03,1049.99,1038.01,11.98,1.1541,47418.24,4956355.235
"226","600519.SH","20200204",1015,1057,1011.01,1038.01,1003.92,34.09,3.3957,62624.18,6490469.043
"227","600519.SH","20200203",985,1010.68,980,1003.92,1052.8,-48.88,-4.6429,123442.88,12314991.759
"228","600519.SH","20200123",1076,1076,1037,1052.8,1075.51,-22.71,-2.1116,53468.43,5638945.742
"229","600519.SH","20200122",1070,1084,1055.38,1075.51,1075.3,0.21,0.0195,36200.04,3875275.065
"230","600519.SH","20200121",1081,1087,1072.3,1075.3,1091,-15.7,-1.439,32874.05,3542441.308
"231","600519.SH","20200120",1111.86,1111.86,1082,1091,1107.5,-16.5,-1.4898,35391.3,3858246.844
"232","600519.SH","20200117",1110,1112.78,1101.01,1107.5,1107,0.5,0.0452,23472.75,2599645.144
"233","600519.SH","20200116",1118.87,1118.87,1102.58,1107,1112.13,-5.13,-0.4613,23191.65,2571593.141
"234","600519.SH","20200115",1109.01,1121.6,1105,1112.13,1107.4,4.73,0.4271,26029.11,2895603.674
"235","600519.SH","20200114",1124.2,1124.89,1103,1107.4,1124.27,-16.87,-1.5005,35144.65,3916300.79
"236","600519.SH","20200113",1112.5,1129.2,1112,1124.27,1112.5,11.77,1.058,38515.75,4325687.959
"237","600519.SH","20200110",1109,1115.99,1102.5,1112.5,1102.7,9.8,0.8887,35975.87,3993457.118
"238","600519.SH","20200109",1094,1105.39,1090,1102.7,1088.14,14.56,1.3381,37405.87,4110949.814
"239","600519.SH","20200108",1085.05,1095.5,1082.58,1088.14,1094.53,-6.39,-0.5838,25008.25,2720371.915
"240","600519.SH","20200107",1077.5,1099,1076.4,1094.53,1077.99,16.54,1.5343,47853.59,5220697.068
"241","600519.SH","20200106",1070.86,1092.9,1067.3,1077.99,1078.56,-0.57,-0.0528,63414.78,6853917.601
"242","600519.SH","20200103",1117,1117,1076.9,1078.56,1130,-51.44,-4.5522,130318.78,14266380.596
"243","600519.SH","20200102",1128,1145.06,1116,1130,1183,-53,-4.4801,148099.16,16696837.095
